GENE_SYMBOL	ID_REF	GSM32828	GSM32829
Ptpra	100908_at	1297.9	2058.9
Surf2	100910_at	1189.2	1161.8
Gpaa1	100911_at	1189.7	1621.3
Dph5	100912_at	608.6	390.6
Gm2889	100914_at	350.9	360.2
Myh9	100915_at	13208.2	7673.5
Slc22a1	100916_at	116.3	231.6
Wdr55	100917_at	520.8	424.4
100920_at	47.6	304.1
Myo10	100923_at	1231.4	1194.8
Gata3	100924_at	1265.7	3118.6
2700089E24Rik	100925_at	159.8	238.2
100926_at	31.2	43.6
Pltp	100927_at	227.7	304
Fbln2	100928_at	145.9	94.3
Mtmr9	100929_at	373.9	341.3
Arsa	100931_at	1979.4	1645.1
Capn1	100932_at	699.2	277.8
Mlx	100935_at	1001	984.6
Ghrh	100938_at	28.3	430.8
Pias2	100941_at	1020.1	815.2
Slc1a4	100943_at	3573.8	2278.6
AW112010	100944_at	116.6	62
Hspa1b	100946_at	2339.8	2198.8
100947_at	1458.2	1715.9
Ank	100948_at	10968.8	4276.8
Fam20c	100949_at	1320.3	884.2
Pkd2	100951_at	1759.1	1449.2
Stim1	100952_at	321.6	352.7
Timeless	100953_at	300.1	666.3
Agfg1	100954_at	1142	943.7
Ube2t	100955_at	296.8	296.9
Kl	100956_at	5.7	95.4
Ssbp1	100957_at	1140.1	1264.3
Spata13	100958_at	171.9	235.9
S100a13	100959_at	8350.3	9945.5
S100a13	100960_g_at	2157.2	3423.9
Kcnh2	100961_at	591.9	392.4
Nab2	100962_at	2316.5	2130.9
Pnkd	100963_at	458.4	480
Vti1b	100964_at	2892.7	2741.7
Cox8c	100965_at	483.8	947
Serpind1	100966_at	85.9	164.5
Slc27a2	100967_at	19.8	38.6
Cstf3	100968_at	280.4	427
Akt1	100970_at	3109.2	3469.7
Ssbp4	100974_at	773.2	525.5
Ptpn9	100976_at	3037.7	3794.5
Pdk1	100977_at	1671.1	2248.9
Frg1	100978_at	583.7	397.3
Rnf138	100979_at	784.1	668.8
Rock1	100980_at	756.4	708
Ifit1	100981_at	629.4	226.2
Kctd9	100982_at	374	370.9
Prep	100983_at	1648.2	1511.7
Atf1	100984_at	2411.1	2428.5
Siah1a	100985_at	1322.1	1242.4
Fhl2	100986_at	5049.9	3498.1
Hspbp1	100987_f_at	869.2	741.8
Bcl2l11	100988_at	425.7	190
Itgb1bp1	100989_at	587.1	947.7
Itgb1bp1	100990_g_at	1204	1324.1
Itgb1bp1	100991_at	378.3	306.5
Phc1	100992_at	594.6	593.9
Aatk	100994_at	25.4	148
Ciz1	100995_at	117.2	37.1
Wls	101001_at	4047.9	3671.9
Azin1	101002_at	7894.9	4523.1
Srsf3	101003_at	314.7	403.5
Srsf3	101004_f_at	2143	2433.4
Acat2	101006_at	2517.6	3590.5
Mknk2	101007_at	2723.4	3212.2
Tcerg1	101008_at	704.3	668
Mybbp1a	101010_at	29.4	119.6
Cct4	101011_at	11459.1	12813.6
Ifnar2	101014_at	206.7	810.1
Ifnar2	101015_s_at	748.1	950.5
Arf1	101016_at	27576.5	32126.8
Cdk4	101017_at	3461.6	4856.4
Srsf1	101022_at	240.6	108.4
Sdhaf1	101023_f_at	1667.9	1534.9
Pttg1	101026_at	46.3	79
Pttg1	101027_s_at	6393	7234.7
Actc1	101029_f_at	2166.1	4931.1
Rhob	101030_at	5542.5	6153.2
Surf1	101031_at	1181.7	1154.2
Nudc	101033_at	184.4	180.8
Grb2	101034_at	1099.8	1559.4
Api5	101035_at	2039.8	2461.5
Tomm20	101036_at	2215.4	3175.6
Abi1	101037_at	148.4	31.7
Col4a2	101039_at	5273.1	4427.2
Capn2	101040_at	3663.4	6092.8
Pepd	101042_f_at	675.8	564.3
Alad	101044_at	2095.6	2214.3
Hsd17b10	101045_at	2587.3	3109.9
Vim	101046_at	386.7	31.7
Cd99	101047_at	8966.4	13044.1
Rfk	101050_at	1404.7	1164.6
S100a3	101051_at	1143.7	1212.5
S100a3	101052_g_at	436.6	217.2
Prpf6	101053_at	4541.5	3801.8
Cd74	101054_at	4.9	261.7
Ctsa	101055_at	2946	2519.7
Rdx	101056_at	1818.2	2627.8
A430005L14Rik	101057_at	1179.9	1215.1
Pdia3	101060_at	8042.6	7072.8
Ssr2	101061_at	4194.1	5438.4
Hmox2	101062_at	325.6	276.8
Plrg1	101064_at	1811.4	1796.8
Pcna	101065_at	9371.3	10464.6
Mrpl24	101067_at	2621.3	2792.9
Mkrn1	101068_at	437.6	274.4
Mkrn1	101069_g_at	1934.9	1335.6
Mkrn1	101070_at	838.3	889.7
Eif4ebp2	101072_at	4008.3	3008.9
Lrp1	101073_at	5057	3617.4
Ddost	101074_at	1617.3	1720.8
Slc4a1	101077_at	57.9	255.8
Bsg	101078_at	11748.6	8385.6
Nxf1	101079_at	1064	1052.3
Col5a1	101080_at	2298.3	2403
Ctbp1	101081_at	4532	5973
Me1	101082_at	1334.7	1687.4
Lsm2	101083_s_at	1227.5	2167.7
Dpm3	101084_f_at	1819.1	2092.8
Mrps24	101085_at	1466.5	2700.2
Cnbp	101086_f_at	7907.2	7697.6
Cnbp	101088_f_at	7217.4	7017.8
Fbn1	101090_at	363.4	401.4
Sumo1	101091_at	4809.2	6001.8
Col4a1	101093_at	8517.9	3935.5
Higd1a	101094_at	2308.6	2129.7
Hax1	101096_s_at	1987.9	1873.4
Mrpl21	101097_at	1468.4	2310.3
Nsg1	101099_at	470.7	295.1
Ppp2cb	101101_at	2538.9	2055.3
Igbp1	101102_at	1122.1	1051.4
Cyp4a14	101103_at	55.9	93.7
Dscr3	101104_at	3089.2	3452.9
Banf1	101105_at	12602.4	12062.1
G3bp2	101106_at	1595.2	1310.7
Calu	101107_at	6559.4	6678
Nasp	101108_at	899.7	1523.8
Dag1	101109_at	3468.6	3610
Col6a3	101110_at	5074.3	4581.2
Rhoa	101111_at	503.1	656.4
Rhoa	101112_g_at	3970.8	2301.7
Rhoa	101113_at	3252.6	5773.2
Srprb	101114_at	162	103.9
Ltf	101115_at	125.9	97.5
101119_at	120.3	293.3
Itm2b	101123_at	11057.8	8224.5
101126_r_at	25.6	105.5
Calcr	101135_at	22.2	126.7
Rps3	101137_at	25820.9	37034
Htr1a	101140_at	108.9	166
Fzd6	101142_at	433.7	207.5
Cep250	101145_at	312.9	394.1
Gcet2	101147_at	54.3	178.8
Prkci	101148_at	765.1	375.3
