"","GSM144202","GSM144203","GSM144204","GSM144205","GSM144206"
"PSCA:205319_at",7.52591226074335,7.4487357980294,7.91767043436176,7.32012359804061,7.62497817956904
"APC2:205320_at",7.0746766862945,7.79376585730965,7.11894107272351,7.61470984411521,6.50303064564116
"EIF2S3:205321_at",12.3757453969768,12.3004383643809,12.2587426796107,12.5410724088538,12.3240398713672
"MTF1:205322_s_at",9.91811785103177,9.89950798255792,10.0527038913994,10.0205633161817,10.1116573462631
"MTF1:205323_s_at",10.3565620114133,9.66124366730065,9.86835958369303,9.99760291048844,10.2033480029798
"FTSJ1:205324_s_at",12.6299712739443,12.5574158343458,12.4306877545094,12.6540989453025,12.6613327527952
"PHYHIP:205325_at",8.23601419190008,8.90839262077375,8.07199858075306,9.09618804632013,8.44335800383632
"RAMP3:205326_at",9.4882418427773,9.55784658244956,9.43170652396602,9.72246602447109,9.56605403817109
"ACVR2A:205327_s_at",10.536635768085,10.199181548764,10.4266840818496,9.96866679319521,11.097505455818
"CLDN10:205328_at",9.45347642461662,9.0749442236232,9.46311561989236,9.36632221424582,8.96636124729361
"SNX4:205329_s_at",9.91348784071516,9.49745269597724,8.88691589584725,9.48260630810786,9.64475759251626
"MN1:205330_at",9.19869058566892,9.10643207781693,8.42038134119664,9.09275714091985,8.64961545906341
"REEP2:205331_s_at",7.58044701959866,8.52943055414615,6.68229237143083,6.39574832817903,7.76221591572778
"RCE1:205332_at",5.86542397831313,4.87282875953489,5.57591736111815,5.23266075679027,4.6667565918848
"RCE1:205333_s_at",10.7915699121269,10.8037275265531,10.433376793375,10.8271044850563,10.0719985807531
"S100A1:205334_at",6.64529816394863,6.32192809488736,6.82017896241519,8.70321146739115,8.09011241966429
"SRP19:205335_s_at",12.8349647685616,12.8353004007101,13.1400788372545,13.1154338665571,13.3574970228143
"PVALB:205336_at",6.34518344718767,6.13134253912326,6.26865895502767,7.46188866443282,7.79701297783614
"DCT:205337_at",4.74953426766926,4.13750352374993,6.40429006444484,6.88752527074159,5.77082904603249
"DCT:205338_s_at",9.65642486327778,8.96837880137054,9.85424505422013,9.56453060081634,9.39210272004142
"STIL:205339_at",11.9899975664947,11.5922701475676,11.8569701326866,11.3848377017787,11.1195896207411
"ZBTB24:205340_at",10.4779605937762,10.7141596404054,10.2015113445001,10.6583900230702,10.0602906233436
"EHD2:205341_at",8.3566720442121,9.50957709019796,9.17791779219584,9.38348830399534,9.52630360620646
"SULT1C2:205342_s_at",9.54264498688628,9.28123458464702,8.80057638942654,9.30788384949487,7.63444806236231
"SULT1C2:205343_at",7.89905475619441,7.33002051583608,7.86727873970966,8.24840200614344,7.92896244083598
"CSPG5:205344_at",6.73470962022584,6.0574502721839,6.27798474729977,7.2667865406949,6.38370429247405
"BARD1:205345_at",9.15961909531593,8.35358794919542,8.14210705730255,8.66888498426625,5.71973105674985
"ST3GAL2:205346_at",7.65391987311942,8.32553033156756,7.74214098549815,8.21771541135067,5.25171909260596
"TMSB15B///TMSB15A:205347_s_at",11.9218781194572,12.3852422751203,11.6545465285409,11.5348864576156,11.4846215270986
"DYNC1I1:205348_s_at",8.98441845880114,8.23122118071119,8.16239132875691,9.18363538147322,8.14567745519564
"GNA15:205349_at",5.75488750216347,7.29920801838728,5.74416109557041,6.5668151540109,7.81185631429254
"CRABP1:205350_at",6.87159726561385,5.18189764310839,6.19967234483636,7.76752238622854,7.60214209069798
"GGCX:205351_at",10.0758802137655,9.56262403909987,10.0625858665113,10.1598713367784,10.0818828368987
"SERPINI1:205352_at",9.2807707701306,10.0162511550127,9.91692443142829,9.5708044377245,9.83178225726435
"PEBP1:205353_s_at",13.0662910459777,13.0372552282789,13.1258977317603,12.9837596248195,13.3127978882104
"GAMT:205354_at",12.1984450414524,12.2356851816373,12.0077631480835,11.9150577346887,11.2995514763203
"ACADSB:205355_at",8.28401434473801,9.16942397867607,9.15785216914174,8.99689712551234,9.87973639382405
"USP13:205356_at",12.2083867905911,12.4408691676109,11.9477830262554,12.1055484444631,11.5346433299855
"AGTR1:205357_s_at",8.55497249615294,8.17242750864548,8.62314990022045,8.58683978796183,8.0639343057541
"GRIA2:205358_at",3.35049724708413,3.52356195605701,4.46597446450407,4,3.59693514238723
"AKAP6:205359_at",9.65069276717138,8.85549144310187,9.27844945822048,9.68544963843391,9.14491311343424
"PFDN4:205360_at",7.13750352374993,8.58646452588639,8.34029521043048,8.57478272083875,8.03837033173068
"PFDN4:205361_s_at",12.878989662199,13.0011266654543,13.0111748309591,12.9585889635948,13.0138983802205
"PFDN4:205362_s_at",9.00450139223494,9.14796805378356,9.12282799480767,9.0703893278914,8.74112986873613
"BBOX1:205363_at",7.29186136958522,4.46597446450407,5.14159627838382,7.11374216604919,3.41953889151378
"ACOX2:205364_at",10.704508893997,10.6025132974518,10.7603041252864,10.451108058506,11.0331476517817
"HOXB6:205365_at",8.51530560545172,8.70321146739115,8.74986942739684,9.46536233167222,9.13108525957895
"HOXB6:205366_s_at",10.4708621994137,9.87943008914331,10.7149323517857,10.8665834835923,10.667200265979
"SH2B2:205367_at",11.2589193037054,11.1850612452397,11.2012050072995,11.2808287551004,11.088854476638
"FAM131B:205368_at",7.55074678538324,5.0703893278914,8.11945993445933,4.94016675048282,6.56376827845203
"DBT:205369_x_at",8.4667902378031,8.876516946565,9.03094295979063,9.27682231468439,9.68860001099912
"DBT:205370_x_at",12.3564519702218,12.2581243249389,12.3320645289871,12.0048875760729,12.5195871138919
"DBT:205371_s_at",7.78463484555752,8.59954096564405,8.65535182861255,8.6242471458362,9.46147944728616
"PLAG1:205372_at",7.05419729438881,6.64673869830785,4.35755200461808,3.72246602447109,3.56071495447448
"CTNNA2:205373_at",4.79701297783614,6.85673675611911,6.99095486039699,3.88752527074159,5.07895134139482
"SLN:205374_at",10.2863267270905,9.23409889783732,9.94617524072356,9.85284157841707,9.42395627425468
"MDFI:205375_at",9.26279957307656,8.54496443278924,9.21261797257263,9.24863919398464,8.97613447283165
"INPP4B:205376_at",9.58345891013077,7.98071082890019,9.14873077917319,10.380461065089,9.34007262383112
"ACHE:205377_s_at",6.92243574023315,6.13134253912326,8.31469652565629,6.44625622988956,6.49345520092618
"ACHE:205378_s_at",4.28540221886225,4.53605290024021,5.80219321694183,4.84297883178833,5.62935662007961
"CBR3:205379_at",9.57893871309339,8.73978060977326,9.5337190711399,9.5438051759644,8.05311133645956
"PDZK1:205380_at",6.16992500144231,5.49185309632967,7.59245703726808,6.18784690943957,7.456149034648
"LRRC17:205381_at",8.27239650903748,8.15431181143649,7.78332568481352,8.38844787631711,8.20750245925879
"CFD:205382_s_at",12.2858645470318,12.1851851668203,11.9206878076375,12.203531540292,11.7897374010671
"ZBTB20:205383_s_at",12.3151495622563,11.3835963022767,12.6763758475388,11.7957150065017,12.8478794949544
"FXYD1:205384_at",9.23888237384058,9.05175273852425,9.96318509361413,9.72195361280139,9.68018368159249
"MDM2:205385_at",6.20750245925879,6.42290574261218,7.16289479937478,7.81506301719287,5.32553033156756
"MDM2:205386_s_at",8.02901108665907,7.95361446119936,8.6560672737256,8.70563238736142,7.992088609014
"CGB1///CGB8///CGB7///CGB5///CGB3:205387_s_at",6.64385618977472,6.80992886572143,6.74685018309805,5,7.01903466936434
"TNNC2:205388_at",6.59693514238723,7.92718535782637,8.13082793414513,8.19278595925113,7.75020450927987
"ANK1:205389_s_at",7.7176764230664,8.24792751344359,8.17791779219584,7.54148386405428,7.65821148275179
"ANK1:205390_s_at",6.43796008833447,7.29920801838728,6.4262647547021,6.45285896471381,6.20163386116965
"ANK1:205391_x_at",6.7983097824546,8.73504824129086,7.53760669149529,7.81313985089045,6.47248777146274
"CCL15-CCL14///CCL14:205392_s_at",6.93310047493137,6.1168637576909,7.1053847492476,7.17692111164436,8.2278565730605
"CHEK1:205393_s_at",10.2818141431817,10.0679720778857,10.1415962783838,10.0741414627525,9.96938652134228
"CHEK1:205394_at",11.3298523858904,10.8675104173122,11.0055543774951,11.1278653880445,10.7559724549541
"MRE11A:205395_s_at",9.99421198923475,9.8155434084646,8.09908476089186,9.67224853027437,9.66622400280318
"SMAD3:205396_at",10.0524321974173,9.90854273731734,10.0483506357335,9.94617524072356,9.73741636593706
"SMAD3:205397_x_at",7.992088609014,7.82209277437953,7.9915218460757,8.1853710292354,7.87528859822269
"SMAD3:205398_s_at",10.6615999762777,10.5271837455571,10.3840282145742,11.177045734375,10.4105573501845
"DCLK1:205399_at",4.76553474636298,5.44956137461324,7.09908476089186,6.91647664443772,6.90929308582382
"WAS:205400_at",5.88508622529017,7.12308675098106,5.68369645430652,6.95419631038687,6.61176256006487
"AGPS:205401_at",11.2928392534645,10.9670100545684,11.6462886858144,11.5382859493041,11.8126987639754
"PRSS2:205402_x_at",10.2289389100735,10.8416429665715,10.775281048663,10.4231159101471,10.4949555598934
"IL1R2:205403_at",5.10433665981474,4.50462039240355,5.68929916053589,5.49505552836802,5.61176256006487
