"","GSM1387702","GSM1387703","GSM1387700","GSM1387701"
"SH2D3C:1552667_a_at",NA,NA,NA,NA
"PPP1R3B:1552669_at",NA,NA,NA,NA
"PPP1R3B:1552670_a_at",NA,NA,NA,NA
"SLC9A7:1552671_a_at",NA,NA,NA,NA
"IGSF3:1552672_a_at",NA,NA,NA,NA
"RFX6:1552673_at",NA,NA,NA,NA
"DIRC1:1552674_at",NA,NA,NA,NA
"DNAJB7:1552675_at",NA,NA,NA,NA
"UCN3:1552676_at",NA,NA,NA,NA
"DIP2A:1552677_a_at",NA,NA,NA,NA
"USP28:1552678_a_at",NA,NA,NA,NA
"KNL1:1552680_a_at",NA,NA,NA,NA
"KNL1:1552682_a_at",NA,NA,NA,NA
"SENP8:1552684_a_at",NA,NA,NA,NA
"GRHL1:1552685_a_at",5.08788710093312,5.21761848535105,4.96901230751632,4.91695427895322
"CNBD2:1552686_at",NA,NA,NA,NA
"CNBD2:1552687_a_at",2.99819550315325,1.29865831556452,3.31179371775365,2.19849415363908
"CASKIN1:1552689_at",NA,NA,NA,NA
"CACNA2D4:1552690_a_at",7.1319598228983,7.40964550691874,7.2293956531274,6.93026424523502
"ARL11:1552691_at",NA,NA,NA,NA
"ARL11:1552693_at",NA,NA,NA,NA
"SLC2A13:1552694_at",NA,NA,NA,NA
"SLC2A13:1552695_a_at",NA,NA,NA,NA
"NIPA1:1552696_at",NA,NA,NA,NA
"TUBA3FP:1552698_at",0.669026765509631,1.23266075679027,2.09423606984577,1.74416109557041
"CARD16:1552701_a_at",1.38956681176273,3.80012335282653,2.72900887033786,2.90303827011291
"CARD16///CASP1:1552703_s_at",4.40394936423287,4.58556349845569,4.69543711040537,4.80632405739003
"DUSP19:1552705_at",NA,NA,NA,NA
"DUSP19:1552708_a_at",NA,NA,NA,NA
"CYB5D1:1552711_a_at",NA,NA,NA,NA
"NMNAT2:1552712_a_at",5.6450098843911,4.03913839390696,5.66533591718518,5.70570149684579
"SLC4A1:1552713_a_at",NA,NA,NA,NA
"CREG2:1552714_at",10.0835856972383,9.9628815494027,9.80894809127285,9.59991284218713
"RXFP1:1552715_a_at",NA,NA,NA,NA
"SPEF2:1552716_at",NA,NA,NA,NA
"CEP170P1///CEP170:1552717_s_at",NA,NA,NA,NA
"DTD1:1552718_at",NA,NA,NA,NA
"CASC4:1552719_at",NA,NA,NA,NA
"FGF1:1552721_a_at",NA,NA,NA,NA
"ARPP21:1552722_at",NA,NA,NA,NA
"RHOXF1:1552724_at",NA,NA,NA,NA
"ADAMTS17:1552725_s_at",NA,NA,NA,NA
"ADAMTS17:1552726_at",4.63981097771678,4.82374936030827,4.75007048586569,4.58676474335514
"ADAMTS17:1552727_s_at",6.04154964501142,6.47540919340106,5.60377468646397,6.09000652990382
"SNORA17B///SNORA17A///SNHG7:1552729_at",NA,NA,NA,NA
"DHH:1552730_at",NA,NA,NA,NA
"ABRA:1552731_at",NA,NA,NA,NA
"ABRA:1552732_at",NA,NA,NA,NA
"KLHDC1:1552733_at",NA,NA,NA,NA
"RICTOR:1552734_at",NA,NA,NA,NA
"PCDHGA4:1552735_at",NA,NA,NA,NA
"NETO1:1552736_a_at",NA,NA,NA,NA
"WWP2:1552737_s_at",NA,NA,NA,NA
"ST7L:1552738_a_at",3.4032677223393,2.9560566524124,4.09000652990382,4.30888505741176
"ST7L:1552739_s_at",NA,NA,NA,NA
"C2orf15:1552740_at",NA,NA,NA,NA
"KCNH8:1552742_at",NA,NA,NA,NA
"MCF2L:1552743_at",NA,NA,NA,NA
"SLCO6A1:1552745_at",NA,NA,NA,NA
"PP2D1:1552747_a_at",2.94673086014031,1.46988597627446,2.14730669878029,2.87970576628229
"KLC3:1552749_a_at",NA,NA,NA,NA
"CIB3:1552750_at",NA,NA,NA,NA
"CIB3:1552751_a_at",2.95419631038688,4.18903382439002,3.81044310384517,3.65992455840238
"CADM2:1552752_a_at",NA,NA,NA,NA
"CADM2:1552754_a_at",NA,NA,NA,NA
"C9orf66:1552755_at",NA,NA,NA,NA
"C9orf66:1552757_s_at",NA,NA,NA,NA
"HDAC9:1552758_at",NA,NA,NA,NA
"HDAC9:1552760_at",6.36632221424582,6.29038753976388,5.18626283566979,3.87578006306849
"SLC16A11:1552761_at",3.61588707391606,2.54349588342577,3.38404980679516,3.56924802986718
"TMEM67:1552763_at",1.11769504266975,2.11769504266975,1.49569516262407,2.06350294230616
"TMEM67:1552765_x_at",1.71808758396052,3.55704241526372,2.11103131238874,2.09085343045111
"HS6ST2:1552766_at",NA,NA,NA,NA
"HS6ST2:1552767_a_at",3.45022149589718,3.48800077083407,4.13093086982645,2.94485844580754
"CAMKK1:1552768_at",NA,NA,NA,NA
"ZNF625:1552769_at",4.46858331700683,3.48155728070859,4.24412594328373,4.51222688651396
"ZNF563:1552770_s_at",2.61588707391606,2.50080205305716,1.33342373372519,2.44095219802964
"LIN9:1552771_a_at",NA,NA,NA,NA
"CLEC4D:1552772_at",NA,NA,NA,NA
"CLEC4D:1552773_at",NA,NA,NA,NA
"SLC25A27:1552774_a_at",NA,NA,NA,NA
"GPRC6A:1552775_at",4.4262647547021,4.34766565630097,3.76871365703049,4.38335869538511
"RAET1E:1552777_a_at",3.08576455377831,2.08065766334523,2.02147972741045,0.815575428862573
"SLC44A5:1552779_a_at",NA,NA,NA,NA
