"","GSM6207","GSM6208","GSM6209","GSM6210","GSM6211","GSM6212","GSM6213","GSM6214","GSM6215","GSM6216","GSM6217","GSM6218"
"Ung:AA848421_at",9.11738336693148,9.92094827227904,9.33873638257392,8.29047969825131,6.27052894238072,6.40769264866568,2.10433665981474,9.29462074889163,9.88950396341148,9.38305623000562,8.56605403817109,8.86943961853158
"Pdcd10:AA848546_at",11.402479172215,11.5399826959649,11.4124110675207,11.2191685204622,10.9397995684186,11.1189410727235,11.1888978732422,12.0050981782397,12.0262121851833,11.6394763789225,11.319672120947,11.7457583457278
"Hspa1b///Hspa1a:AA848563_s_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anxa3:AA850219_at",9.63354019307246,9.72655877910498,9.41214639654068,8.3371758685863,7.52825874275841,7.52042224852645,7.97441458980553,9.53196621836025,9.16364967601582,9.51943968699498,8.88233736124948,9.34207466799914
"Dnajb14:AA859934_at",7.03452387533439,7.85486838326024,6.55305325276641,7.02901108665907,7.32732808262995,6.58646452588639,6.63226821549951,6.66391384211598,6.8592241619782,6.84172158112846,7.69696752623429,7.0746766862945
"Mdm2:AA875509_at",9.4423215104798,8.3019533951261,8.29553937040683,8.72826067270907,8.38456792317383,8.61397358738022,9.13108525957895,8.49585502688717,8.9518675043269,8.93545974780529,8.82813648419411,9.32237886665822
"Cadm1:AA933181_at",8.91468410532839,7.74550626586916,7.49505552836802,7.85424505422013,8.00281501560705,8.36325870170799,8.87559578337043,8.20701432017753,8.43045255166553,8.33494363072662,7.81378119121704,8.62131930101419
"LOC102555743///Rpl41:AA944073_at",13.0606283882038,13.1224397735089,13.3628342205543,13.1793959714448,12.7721495907845,13.1834027700131,13.181105657436,14.0157112274868,13.2887507462117,12.886973035679,13.1138235432126,13.4810804272019
"Pex1:AA956437_at",9.33046876659032,7.85237344958027,8.2336196767597,9.12902536982563,8.79311555527435,8.84486265583082,9.08214904135387,7.8008998999203,7.83415498140132,7.83983364841731,8.33762190199251,8.73199778664374
":AA958273_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
":AA958274_at",NA,2.84799690655495,NA,6.22496636500027,NA,4.75488750216347,NA,5.39574832817903,NA,NA,NA,NA
"Ndufv3:AB000098_at",5.87282875953489,7.80348537559595,8.80928581019891,9.04685116515398,8.86015583462336,9.55765515472542,8.96376309644273,8.02347715183043,7.36282052553426,7.51806297565252,6.44294349584873,8.26912667914942
"Ndufv3:AB000098_g_at",9.11971929536625,9.74466568142489,11.2087830390862,11.3629300820549,11.5781367834147,11.7254940751845,11.4841683481909,10.992725951293,10.5917093331617,10.6319045872579,10.6193946686506,10.9151324489507
"Slc7a3:AB000113_at",NA,NA,NA,NA,NA,6.20750245925879,NA,5.19377174339668,3.27798474729977,NA,NA,NA
"Hsd3b7:AB000199_at",7.72723977748481,7.92065059456398,8.92807417295309,9.1053847492476,9.60529430783728,9.78545246815854,10.1136119530394,8.54457811733884,7.39660478118186,9.23816586275513,9.675604252639,10.6631133084558
"Abtb2:AB000216_at",8.64132926174569,7.61470984411521,9.1880942639264,9.07307041961431,9.36369674483899,8.79603960882977,8.83415498140132,7.81634370528486,8.17092652528738,7.99435343685886,7.72178276845979,8.23026066466979
"Gata3:AB000217mRNA_at",8.12567176339259,NA,8.18636189125299,7.30833903013941,8.35755200461808,7.12928301694497,7.16188768237689,7.21626083716506,7.37330019660839,9.14363830992204,8.35314682549808,7.04548665635946
"Slc15a4:AB000280_at",9.50977500432694,8.92481250360578,9.74146698640115,9.83920378809694,9.80654962198596,9.81970011247743,9.96708212625773,9.04821438460804,9.27891401949994,9.26420799659313,9.0911708900279,9.43816807435673
"Cirbp:AB000362_at",7.83415498140132,7.62570884306447,8.74617838097141,7.84235034341381,7.67030217007853,7.86170728658586,8.72212443691394,7.87282875953489,6.19179950106508,6.22303633790187,7.14974711950468,7.82017896241519
"Psmc5:AB000491_at",12.2368513341531,12.1686407821047,12.05954726218,11.5790801838348,11.8747508667777,11.6133751019937,11.1359016326204,12.4501544661081,12.3593103168904,12.1856807467267,11.9132260255537,11.5675758685241
"Aqp7:AB000507_at",NA,NA,NA,NA,NA,NA,2.84799690655495,NA,NA,NA,NA,NA
"Cds1:AB000517_s_at",7.94895120044142,7.7045953476324,7.87958324961278,8.31015831794782,8.1873520732005,8.14465824283188,8.15177765473205,7.66249036391378,7.23744899563932,7.6667565918848,7.69348695749933,8.06770324437316
"Mat2a:AB000717exons#1-8_s_at",11.6311315727978,11.2682495719945,11.8358925023263,11.616043352511,11.5231698660856,11.397086312658,11.3107831686496,12.3759625476889,10.9883296492311,11.4232735157086,11.0152059509962,10.8070328559683
"Sema6b:AB000776_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pld1:AB000778_s_at",1.88752527074159,5.78659636189081,NA,5.21334728173344,7.04111153536915,7.05202456048283,7.22207035524718,6.04001567884788,5.71424551766612,6.30012372456901,5.46597446450407,5.8073549220576
"Zp1:AB000928_at",6.92481250360578,7.28447711781042,6.59395128394841,7.64601861092535,7.78855521492886,7.56909609526214,8.27705487614873,7.12722055048807,7.63807383718072,7.76221591572778,8.08533966935737,8.11478344724985
"Zp2:AB000929_at",9.57402579792481,8.77478705960117,9.96434086779242,9.8772841335232,8.32012359804061,9.06096607400477,9.30560578958543,9.25644459647344,9.876516946565,9.01625115501275,10.1065629404449,9.10171310018849
